Context,Questions,Decision,Answers_client,Answer_partner
Development ,"As part of building a strong cybersecurity solution, control access to application documentation (e.g. application descriptions, programming flowcharts, work flow processes, operations and user instructions) against unauthorized access with appropriate library and version controls",YES,Ultimus only allows authorized users/roles to access development environment & components.,
Development ,"As part of building a strong cybersecurity solution, custom accounts, user IDs, and passwords are removed before solutions are released to customers or users",YES,"Ultimus will follow the policy and all customer accounts, user ids, passwords will be removed before deployments.",
Development ,"As part of building a strong cybersecurity solution, develop all applications to prevent common coding vulnerabilities in software-development processes.",YES,-,
Development ,"To build a solution, develop and implement training and communication programs for application integrators.",YES,"Ultimus will provide 10 days training to business users & Administrators. If further training programs are needed, Ultimus can share proposals.",
Development ,"To effectively building a solution, document and follow a software-versioning methodology as part of their system development lifecycle.",YES,Ultimus allows versioning while installing/developing solutions.,
Development ,"To effectively building a solution, ensure that production data is not used in development or acceptance testing unless the data has been desensitized and prior approval from the information owner has been obtained. Ensure that the production data is properly masked in the test environment involving any external party, however, for internal testing purposes, appropriate data masking may be done based on the criticality of data, wherever applicable.",YES,Ultimus do not recommend to use production data into Test or development environment. For any need implemented Bank policy will be followeed.,
Development ,"As part of building a secure and effective cybersecurity solution, ensure that security is applied to all accesses and inputs into the application.

Rationale:
In order to avoid the likelihood that an input channel may be left open to compromise.",YES,Ultimus can provide security & access rights to all Ultimus modules & solutions.,
Development ,"As part of building a secure and effective cybersecurity solution, establish a process to identify vulnerabilities and request remediation (any underlying software or systems that are provided with or required by the application - for example, web servers, third-party libraries and programs - must be included in this process.",YES,Ultimus recommends IT team to run the scan and share list of any found vulnarability.,
Development ,"As part of building a secure and effective cybersecurity solution, follow change-control procedures for all application changes. ",YES,Ultimus recommends to use change management process for any change at any level.,
Development ,"As part of building a secure and effective cybersecurity solution, if an application facilitates sending of sensitive data by end-user messaging technologies (for example, e-mail, instant messaging, chat, Whatsapp, SMS), there must be a solution in place that renders the sensitive data unreadable or implements strong cryptography, or specify use of strong cryptography to encrypt the sensitive data.",YES,Ultimus allows to implement encryption for data within Ultimus application.,
Development ,"To effectively building a solution, implement a process to document and authorize the final release of the application and any application updates.",YES,Bank's team can follow Bank policy. If needed Ultimus will support to define such procedure.,
Development ,"To effectively building a solution, include release notes for all application updates, including details and impact of the update, and how the version number was changed to reflect the application update.",YES,Ultimus can provide release notes for all updates.,
Development ,"To effectively building a solution, patches and updates are delivered to customers in a manner that maintains the integrity of the patch and update code.",YES,-,
Development ,"To effectively building a solution, patches and updates are delivered to customers in a secure manner with a known chain of trust.",YES,-,
Development ,"As part of building a secure and effective cybersecurity solution, provide training in information security for vendor personnel with security responsibility at least annually.",YES,Annual training programs can be included as part of proposal.,
Development ,"As part of building a secure and effective cybersecurity solution, provide training in secure development practices for application developers, as applicable for the developer’s job function and technology used",YES,This can be achieved as per Bank policy.,
Development ,Remove test data and accounts before solutions are released to customers or users.,YES,This can be achieved as per Bank policy.,
Development ,"As part of building a secure and effective cybersecurity solution, use risk assessment techniques (for example, application threat-modeling) to identify potential application security design flaws and vulnerabilities during the software-development process.",YES,"Ultimus share all release after thourough quality assurance. If further any point is discovered by UBL team, Ultimus will support.",
Development ,"As part of building a secure and effective cybersecurity solution, secure source-control practices are implemented to verify integrity of source code during the development process.",YES,Ultimus provides recommendation and best possible structure to store the custom code. ,
ID Management,"Build or configure solution such that group, shared, or generic accounts and passwords are neither required nor used.",YES,"Ultimus only requires single active directory user to run the services.
Business modules will be configured with provided business users.",
ID Management,Build or configure the solution so that users should be automatically assigned a unique ID,YES,Ultimus use short id of active directory users.,
ID Management,"To effectively building a solution, do not use (or require the use of) default administrative accounts for other necessary software (for example, a payment application must not use the database default administrative account).",YES,Ultimus only use provided list of users.,
IS Awareness,"As part of building a secure and effective cybersecurity solution, develop and implement a robust cyber security awareness program to ensure that end-users are aware of the importance of protecting sensitive information and the risks of mishandling information.",YES,This point can be covered during training if needed.,
IS Configs,"To effectively building a solution, create backup of device configurations on regular basis",YES,Ultimus can highlight the components to be backed up. Ultimus recommends IT team to follow Bank's policy.,
IS Configs,"To effectively building a solution, define and document configuration standards for applications and systems applicable to vendor-specific make/model/version.",YES,Ultimus product documentation helps to know all configuration items related to product. Ultimus solution documents will explain about solution related configurations.,
IS Configs,"To effectively building a solution, define and implement a formal process for secure operations of information systems.",YES,Ultimus recommend cover this point during training if needed and can also provide documented if needed.,
IS Configs,"As part of building a secure and effective cybersecurity solution, establish a process for timely deployment of security patches and upgrades on infrastructure and operating systems.",YES,Ultimus can share product release roadmap during project. Ultimis is always working actively on new patches if required.,
IS Configs,"As part of building a secure and effective cybersecurity solution, establish procedures to test patches in a segregated environment, and to install them when appropriate. The procedures shall include the identification, categorization, prioritization of security patches and their testing processes.",YES,Ultimus can share recommendation to test the patches. In general Ultimus  recommend to test each in test environment before moving it to production.,
IS Reporting,"As part of building a secure and effective cybersecurity solution, ensure that MIS on incidents, logs, breaches etc. are regularly reviewed by the Senior Management and significant incidents are submitted for review to the IT Steering Committee and IS Steering Committee on a regular basis.",YES,Ultimus provides interface to review logs/audit trails. MIS reports can also be provided if requested as part of scope.,
IS Reporting,"As part of building a secure and effective cybersecurity solution, maintain a risk register to facilitate the monitoring and reporting of risks by prioritizing and closely monitoring high risk activities with regular reporting on the actions that have been taken to mitigate them.",YES,"Ultimus maintains the risk register during the implementation of solutions. Once the system is live and handed over, Ultimus can help UBL team to mainteance the risk register.",
IS Reporting,"As part of building a secure and effective cybersecurity solution, report to Banking Policy & Regulation Department (BPRD), SBP within forty-eight (48) hours after an incident is established of information/cyber security breaches and related incidents involving financial loss and stealing of confidential data.",YES,Ultimus can help here if needed. In general Ultimus expect that UBL support team will report such breach if found and will also escalate it to Ultimus if any vendor assistance is needed.,
Password Policy ,Build or configure solution to automatically prompt to change user passwords at least once every 90 days,YES,Ultimus use active directory users so the policy can be applied at AD level.,
Password Policy ,Build or configure solution to set minimum length of password to at least eight characters including alpha-numeric and at least one special character,YES,Ultimus use active directory users so the policy can be applied at AD level.,
Password Policy ,"Build or configure solution to set passwords for first-time use and upon reset to a unique value for each user, and change immediately after the first use",YES,Ultimus use active directory users so the policy can be applied at AD level.,
Password Policy ,Build or configure the feature in solutions that limits repeated access attempts by locking out the user account after not more than six logon attempts.,YES,Ultimus uses active directory users & seacurities. The policy & can be enforced at AD level.,
Password Policy ,"As part of building a secure and effective cybersecurity solution, enforce the changing of all default passwords for all accounts that are generated or managed by the solution, by the completion of installation and for subsequent changes after installation. This applies to all accounts, including user accounts, application and service accounts, and accounts used by the vendor for support purposes. At the completion of installation, and upon subsequent changes, the solution must technically prevent any default or built-in accounts from being used until the default password has been changed.",YES,"Ultimus will remove any default user on instalaltion completion.
For applications, solutions Ultimus use active directory users.",
Password Storage,"As part of building a secure and effective cybersecurity solution, do not store passwords in log files or any other operating system files, or in databases; if required to be stored, use strong one-way cryptography i.e. hashing, to store passwords as unreadable. Hashing should be SHA-1 or SHA-2. MD5 hash is prohibited. Each password must have a unique input variable that is concatenated with the password before the cryptographic algorithm is applied.",YES,Ultimus do not store or log passwords for users. The database connection passwords are stored but can be encrypted. Ultimus can share the used encryption methods in product if necessary.,
Password Storage,"As part of building a secure and effective cybersecurity solution, use strong cryptography i.e. encryption or hashing, to make transmitted passwords unreadable. 

If using cryptography at the application layer, secure the encryption keys through a key-management process.

If using TLS, only TLS 1.2 or above (with secure ciphers only) is allowed.
",,Ultimus do not store or log passwords for users. The database connection passwords are stored but can be encrypted. Ultimus can share the used encryption methods in product if necessary. ,
Physical Security,"As part of building a secure and effective cybersecurity solution, access to critical information processing facilities shall be restricted to authorized personnel only and the access rights shall be reviewed and updated regularly",YES,Ultimus only allows authorized users/roles to access development environment & components.,
Physical Security,"As part of building a secure and effective cybersecurity solution, consider environmental threats when selecting the locations of data centers.",YES,Ultimus expect UBL team to decide on data center location.,
Physical Security,"As part of building a secure and effective cybersecurity solution, critical information processing facilities shall be housed in secure areas such as data centers and network equipment rooms with appropriate security barriers and entry controls.",YES,Ultimus expect UBL team to decide on data center location.,
Physical Security,"As part of building a secure and effective cybersecurity solution, physical and environmental controls shall be implemented to monitor environmental conditions which can adversely affect the operation of information processing facilities.",YES,Ultimus expect UBL team to define policy for physical security.,
Physical Security,"To build a solution, take adequate measures to protect equipment from power failures and electrical supply fluctuations.",YES,Ultimus expect UBL team to define policy for physical security or failure.,
Strong Authentication,"As part of building a secure and effective cybersecurity solution, establish two-factor authentication controls for remote access to networks, host data and/or systems.",YES,Ultimus expect UBL team to define policy for physical security or failure.,
Strong Authentication,"As part of building a robust cybersecurity solution, in order to authenticate customers who use Internet Banking products and services the bank shall implement at least Two Factor Authentication",YES,Ultimus can provide this if needed as part of solutions.,
Testing of IS Controls,"As part of operating and maintaining a strong cybersecurity solution,  develop and implement internal assessment methods/procedures for determining security control effectiveness.",YES,Ultimus recommends UBL team define the policy and consult with Ultimus team if needed.,
Testing of IS Controls,"As part of operating and maintaining a strong cybersecurity solution, perform external penetration tests (EPT) annually on public-Internet-facing assets to identify and assess possible exploitations in systems and processes, and subsequent validation tests to assess that the extent of possible unacceptable exploitations are no longer possible.",YES,Ultimus recommends UBL team to perform such test and consult Ultimus if any assistance is needed.,
Testing of IS Controls,"As part of operating and maintaining a strong cybersecurity solution, perform external vulnerability assessments (EVA) quarterly on public-Internet-facing assets to identify and assess security vulnerabilities in systems and processes, and subsequent validation tests quarterly to assess that the gaps identified during VA have been properly filled in.",YES,Ultimus recommends UBL team to perform such test and consult Ultimus if any assistance is needed.,
Testing of IS Controls,"As part of operating and maintaining a strong cybersecurity solution, perform internal penetration tests (IPT) at the time of major update and deployment of the software/system to identify and assess possible exploitations in systems and processes, and subsequent validation tests to assess that the extent of possible unacceptable exploitations are no longer possible.",YES,Ultimus recommends UBL team to perform such test and consult Ultimus if any assistance is needed.,
Testing of IS Controls,"As part of operating and maintaining a strong cybersecurity solution, perform internal vulnerability assessments (IVA) quarterly on internal-facing assets to identify and assess security vulnerabilities in systems and processes, and subsequent validation tests to assess that the gaps identified during IVA have been properly filled in.",YES,Ultimus recommends UBL team to perform such test and consult Ultimus if any assistance is needed.,
PA-DSS or CP Certification,"As part of building a strong cybersecurity solution, applications that process, store or transmit PCI cardholder data",YES,Not enough information provided.,
PCI-DSS Certification,"As part of operating and maintaining a strong cybersecurity solution, solutions that process, store or transmit PCI cardholder data",YES,Not enough information provided.,
Workflow Management,"A workflow visual designer is a key requirement otherwise known as process definition tool. In other words, the tool should provide the environment to designing a process workflow through document, forms fields, business rules, approval hierarchies and access rights without any need for code changes to the software.",No,"Ultimus BPM Studio and Process Designer are used to visually define workflows, with data model, business rules, forms with form fields, access rights, integrations and escalations with no coding needed.","Ultimus Forms are defined using CPS, which is based on U# language.

Ultimus CPS Layout Editor is available as visual drag-and-drop Form Editor with standard functionality using U# internally. More complex forms / form logic can be composed directly in Ultimus CPS Composer using Ultimus U#."
Workflow Management,The workflow management system must support form templates that can be designed within the system. Each form template will materialize as a data collection form which will move through stages of a defined process flow. ,No,Ultimus Reusable CPS Assets are form templates which can be combined using CPS Layout Editor,
Workflow Management,The workflow designer should support dynamic workflows e.g. the workflow should take different routes based on certain criteria. A criterion is a condition e.g. if certain amounts exceeds a value then send to Person X for approval,No,"Ultimus BPM Studio (the workflow designer) supports any kind of dynamic workflows with sequential or parallel routes, based on static and dynamic conditions. ",
Workflow Management,"A process workflow (process definition) must be independent of the forms and should be configurable. A workflow is a process path which is a form or a set of forms that will follow going through initiation, validations, review, edits, approvals, rejections or modifications.",No,Ultimus process definitions are configurable and independent from Ultimus CPS process forms. All mentioned phases (and more) are possible.,
Workflow Management,"A typical workflow design should be a composite of the following components                                                                                                    §  A data collection form with input parameters                                                                §  Business rules to support validation checks                                                                                §  eDocument or Electronic document                                                                                          §  Process flow or process definition that include parameters like process route, reviewers, approvers, TATs etc.                                                                             The above listed components should ideally be segregated and combinations of them would represent different process workflows within the system                         ",No,"A typical Ultimus workflow design is a composite of all the mentioned components, including data model, recipients for the different steps / phases, escalation handling and - if needed - integration to 3rd systems using Ultimus FloBots (automated activities).",
Workflow Management,The process management or the workflow of a process can be Open or Fixed. The system will provide the option to have Open workflows where a form going through a process can be changed on-the-go by re-routing and re-assigning it. It can follow any number of steps through any department and support for such flow should be provided by the system. ,No,Ultimus supports both Open and Fixed processes or any combination where needed.,
Workflow Management,The Fixed document workflow will only follow pre-defined route inter and intra department as per process definition,No,Ultimus supports both Open and Fixed processes or any combination where needed.,
Workflow Management,"The system must also support workflows where parallel tasks can be performed, in other words the process flow can be split into two and convene at a later step e.g. a workflow which requires approval from two different authorities where requests can be initiated simultaneously.",No,Ultimus supports parallel tasks incl. handling of the related parallel and simultaneous approval.,
Workflow Management,"Any workflow designed could have an N number of approvers, reviewers or observers or any other described roles within the system. ",No,"Ultimus supports N number of mentioned approvers, reviewers or observers and any other described roles based on a highly sophisticated recipient handling.",
Workflow Management,"The workflow module will be seamlessly integrated with a document management system or another module. Documents generated as part of workflow should be all stored in the document management module of the system. Most document management functions should be integrated with the form designer and the document library should be accessible from any user form. The following operations on the document management form could be triggered from within a process form,                                                       §  Search for a document by name or meta data                                                              §  Store a new document into document library, the document here refers to a PDF, WORD, EXCEL, TXT, CSV or IMAGE File.                                                                                       §  Store and access based on access control rights of the user defined for the document",No,"Ultimus provides an integrated document management system (DMS) with the described functionality.

Related DMS Actions and CPS Assets are available to trigger these operations and to provide DMS related UI elements within process forms.","Ultimus CPS provides basic document handling as part of the Document Tab / Documents Slots.

A 3rd party DMS might need to be used to provide all the requested DMS features and functions. Once decision about best fitting DMS is taken, related UI components (e.g. search) and CPS Actions (e.g. store, etc.) can be provided."
Workflow Management,Any number of loops should be possible where a user may send the document back to the other use who may be expected to provide additional information and corrections. This can apply to both open and closed workflows.,No,Ultimus supports any number of loops with sending documents / tasks back and forth for parallel or sequential tasks for both Open and Closed workflows.,
Workflow Management,Approvals on a form can be single step or multi-step where multiple approvers may assume different user roles.,No,Ultimus supports single step or multi-step approvals with multiple approvers in different user roles.,
Workflow Management,The workflow designer in certain cases will facilitate custom designs or complex forms which cannot be handled by the visual design editor. The system will allow the developers for scripting to handle any cases which may require complexity to be handled. The form designer should also support coding at the backend to define any complex logic driven work and should interact with the database in a service-based model (APIs).,No,Ultimus CPS Forms are based on Ultimus U# as foundation. Ultimus CPS Layout Editor as visual Editor allows to compose the standard forms. Using CPS Composer opens the door to design / compose any kind of complex form and to integrate with any 3rd system or database.,
Workflow Management,The workflow engine must also provide provision for optional tasks where some users may commit to it or not. This can be achieved by optional parameter or signing authorities.,No,"Ultimus supports optional tasks which can be achieved by optional parameters, process rules or signing authorities.",
Workflow Management,The rules related to process workflow must also include due dates and SLAs which should trigger automatic reminders to concerned people for approvals or edits,No,"Ultimus supports rules to define due dates and SLAs for escalation and notification handling, e.g. to trigger automatic reminders to concerned people for approvals or edits.",
Workflow Management,The system must also provide provision for defining relative dates e.g. number of days since last edit for sending periodic reminders. Reminders should be rule based or the configured TATS in the system.,No,,
Workflow Management,"The workflow designer allows permissions to be specified in specific workflow steps. Permissions include specific staff, roles, or both names staff and nominated roles.",No,,
Workflow Management,The workflow designer applies the same rules to the workflow as it does for accessing the associated document through integration of a single security model defined as a part of the overall solution or system.,No,Ultimus provides a single security model using Roles and Groups.,
Workflow Management,"Multiple documents maybe attached or tagged within a workflow, the documents itself maybe checked out and such intimations should be raised while users are moving through different steps of the workflow. If chosen by user, the workflow should proceed but the edited version must be saved under a newer version. The tracking of checked-out documents and consequences of any such actions on system modules should be registered and raised to users for informed decision making. ",No,Ultimus provides an integrated document management system (DMS) with the described functionality.,See REQ_WF9 
Workflow Management,The workflow designer allows users to keep a local workspace for them within the system so that any drafts can be stored in a ‘To-do’ list. ,No,"Ultimus BPM Studio (the workflow designer) is repository based, with the option of user-repositories / separate workspaces to store and maintain drafts in different versions.",
Workflow Management,The system to provide a seamless integration between the workflow editor and the form designer/ editor. This is essential to provide a consistent visual design experience to users.,No,Ultimus workflow designer and forms designer are seamlessly integrated.,
Workflow Management,It should be possible to raise multiple types of notifications during the workflow                                                               §  Emails                                                                                                                         §  SMS                                                                                                                      §  Mobile Push Notifications through App,No,Ultimus supports notifications using E-Mails. SMS or Push Notifications.,"Ultimus supports notifications using E-Mails or Push Notifications out-of-the-box. SMS notifications are possible using a 3rd SMS Provider.
Native mobile app with Push Notifications ?

"
Workflow Management,The system may provide delegation to other users while operating on certain fixed flow processes by adding new approvers and routes to new departments for certain processes. This could also save essential time when certain new process steps or changes to it are impending. ,No,"Ultimus provides sophisticated routing, assignment, and delegation options supporting the described scenario.",
Workflow Management,The system should facilitate attachment of documents to emails. The email client should be seamlessly integrated with the workflow management software/ component,No,Ultimus allows to send emails incl. attachments seamlessly.,We do not have a seamless integrated email client !
Workflow Management,Certain users must also have the privilege to lock/ unlock documents when required. ,No,Ultimus provides an integrated document management system (DMS) with the described functionality.,See REQ_WF9 
Workflow Management,Forms should be printable and support for printing device is a must. Document when printed must be printed with a barcode for a unique identification of document that can again be used to scan and recognize the document within the system.,No,Ultimus provides form printing incl. barcode generation.,We might need to work on the form printing - and to add generating barcodes.
Workflow Management,"It should be allowed to assign workflow process related tasks to a group of users. In other words, user groups should be allowed to perform certain actions. ",No,"Ultimus provides sophisticated routing, assignment, and delegation options supporting the described scenario.",
Workflow Management,"In certain cases, users should be given the authority to delegate the approval or sign-off authorities to other users",No,"Ultimus provides sophisticated routing, assignment, and delegation options supporting the described scenario.",
Workflow Management,"Emails, SMS and other push notifications should be done based on defined message templates. The system should support multiple message templates.  ",No,Ultimus supports notifications using E-Mails. SMS or Push Notifications based on templates.,See REQ_WF21
Workflow Management,"Electronic signatures options should be provided so that,                                             §  Users have the option of signing documents using pre-stored electronic signatures                                                    §  Or only choose to sign documents using stylus when required ",No,Ultimus supports electronic signatures and to sign documents.,To be clarified what level of electronic signature is needed. We can integrate against electronic signature 
Workflow Management,Capability to store electronic signatures of users in a secure encrypted format. Any addition or changes to electronic signatures will require a multi-level authorization and notifications for any signature related changes made to system,No,Ultimus supports electronic signatures and to store electronic signatures of users in a secure encrypted format. Changes require a multi-level authorization and notifications for any signature related changes made to system.,"To be clarified what level of electronic signature is needed. We can integrate against electronic signature 

This signature handling is not yet in place."
Workflow Management,Two factor authentications should be configurable for any user related event or action which would involve                                                                                               §  Sending the code to user’s email                                                                                       §  Sending the code to a user’s registered mobile number                                                      There must be an optional configuration of QR based authentication. ,No,Ultimus supports two factor authentication incl. Optional QR based configuration.,"Ultimus supports OpenID for this, here QR Code Authentication should be possible as well."
